model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,param_count,model_size_kb,inference_ms_per_batch
overnight-lstm-256-2layer-drop0.35-lr0.0005,LSTM,256,2,0.35,0.0005,40,20,0.9859375,0.07235195371322334,0.9734375,0.09220834181178361,798740,3124.1298828125,2.7084400004241616
overnight-lstm-256-2layer-drop0.2-lr0.0005,LSTM,256,2,0.2,0.0005,40,19,0.9859375,0.058590217307209966,0.9625,0.14886275348253547,798740,3124.1298828125,5.274553999770433
overnight-lstm-384-2layer-drop0.35-lr0.001,LSTM,384,2,0.35,0.001,40,14,0.9859375,0.060845691314898434,0.965625,0.133182063116692,1787924,6988.1298828125,10.41717600019183
overnight-lstm-256-3layer-drop0.0-lr0.0005,LSTM,256,3,0.0,0.0005,40,26,0.9859375,0.05111396566499025,0.9796875,0.09304520171135663,1325076,5181.1962890625,4.36678399972152
overnight-gru-64-3layer-drop0.1-lr0.0005,GRU,64,3,0.1,0.0005,40,38,0.9859375,0.0707544044591486,0.984375,0.0694802663754671,64468,256.8837890625,5.508348000003025
overnight-gru-64-1layer-drop0.0-lr0.002,GRU,64,1,0.0,0.002,40,37,0.9859375,0.0624374854611232,0.9859375,0.0624374854611232,14548,59.8173828125,1.888971999869682
overnight-lstm-256-3layer-drop0.2-lr0.0005,LSTM,256,3,0.2,0.0005,40,19,0.984375,0.07480345834046602,0.971875,0.11201575570739805,1325076,5181.1962890625,4.2448159999912605
overnight-gru-64-3layer-drop0.35-lr0.0005,GRU,64,3,0.35,0.0005,40,37,0.984375,0.0649930767714977,0.978125,0.0871506594121456,64468,256.8837890625,5.530987999518402
overnight-lstm-256-2layer-drop0.1-lr0.001,LSTM,256,2,0.1,0.001,40,14,0.984375,0.08348947737831622,0.978125,0.08745277114212513,798740,3124.1298828125,2.6591360004385933
overnight-lstm-128-3layer-drop0.35-lr0.001,LSTM,128,3,0.35,0.001,40,17,0.984375,0.07867254004813731,0.9765625,0.09692044192925095,334868,1313.1337890625,1.8606700003147125
overnight-lstm-128-3layer-drop0.0-lr0.001,LSTM,128,3,0.0,0.001,40,17,0.984375,0.09907565098255873,0.965625,0.1417033771518618,334868,1313.1337890625,2.153066000319086
overnight-lstm-128-2layer-drop0.1-lr0.0005,LSTM,128,2,0.1,0.0005,40,31,0.984375,0.07076597863342612,0.975,0.09223679911810904,202772,796.1298828125,1.2458200001856312
overnight-lstm-256-2layer-drop0.0-lr0.0005,LSTM,256,2,0.0,0.0005,40,21,0.984375,0.07811044582631439,0.940625,0.2043813133612275,798740,3124.1298828125,2.85991600016132
