run_type,model_type,mode,trial_id,val_accuracy,val_loss,epoch,final_val_accuracy,final_val_loss,final_epoch,batch_size,lr,dropout,head_width,head_layers,head_batch_norm,activation,embed_dim,depth,num_heads,patch_size,optimizer,unfreeze_blocks,weight_decay,label_smoothing,image_size,notes,elapsed_seconds,param_count,model_size_kb,inference_ms_per_batch,inference_ms_per_image,best_val_accuracy,best_val_loss,best_epoch,network_name,network_display_name
local,transformer,overnight,local_transformer_014,0.7647058823529411,0.5362806429270826,18,0.6993464052287581,0.6128733921674342,20,8,0.0003,0.1,384,1,0,silu,64,4,8,8,adamw,0,1e-05,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,53.74298350000754,222146,887.048828125,20.960800000466406,20.960800000466406,0.7647058823529411,0.5362806429270826,18,vision_transformer_patch8_embed64_depth4_heads8_head384_layers1_silu_bn0,Transformer | patch=8 | embed=64 | depth=4 | heads=8 | head=384 | layers=1 | activation=silu | bn=0
local,transformer,overnight,local_transformer_007,0.7647058823529411,0.5488712865542742,9,0.7124183006535948,0.6008227479224112,20,16,0.0005,0.2,384,3,1,gelu,64,3,4,16,adamw,0,5e-05,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,39.83909490000224,485890,1927.8681640625,2.0752400043420494,2.0752400043420494,0.7647058823529411,0.5488712865542742,9,vision_transformer_patch16_embed64_depth3_heads4_head384_layers3_gelu_bn1,Transformer | patch=16 | embed=64 | depth=3 | heads=4 | head=384 | layers=3 | activation=gelu | bn=1
local,transformer,overnight,local_transformer_025,0.7581699346405228,0.5305562463461184,18,0.7124183006535948,0.5245308239086002,20,24,0.0003,0.2,256,3,0,relu,96,3,4,16,adamw,0,0.0005,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,39.6776490000193,473922,1867.791015625,4.193319997284561,4.193319997284561,0.7581699346405228,0.5305562463461184,18,vision_transformer_patch16_embed96_depth3_heads4_head256_layers3_relu_bn0,Transformer | patch=16 | embed=96 | depth=3 | heads=4 | head=256 | layers=3 | activation=relu | bn=0
local,transformer,overnight,local_transformer_022,0.7516339869281046,0.5520225821756849,19,0.6993464052287581,0.6149913898480484,20,8,0.0002,0.15,512,1,0,gelu,64,2,4,16,adamw,0,5e-05,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,41.713049500016496,163010,647.837890625,1.8016200046986341,1.8016200046986341,0.7516339869281046,0.5520225821756849,19,vision_transformer_patch16_embed64_depth2_heads4_head512_layers1_gelu_bn0,Transformer | patch=16 | embed=64 | depth=2 | heads=4 | head=512 | layers=1 | activation=gelu | bn=0
local,transformer,overnight,local_transformer_010,0.7516339869281046,0.5627772328900356,18,0.6993464052287581,0.6200679225080153,20,24,0.0007,0.15,128,2,0,silu,128,3,8,16,adamw,0,1e-05,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,38.09869829996023,554242,2180.8515625,3.4932599985040724,3.4932599985040724,0.7516339869281046,0.5627772328900356,18,vision_transformer_patch16_embed128_depth3_heads8_head128_layers2_silu_bn0,Transformer | patch=16 | embed=128 | depth=3 | heads=8 | head=128 | layers=2 | activation=silu | bn=0
local,transformer,overnight,local_transformer_021,0.7516339869281046,0.5733594263301176,19,0.7124183006535948,0.6001816952929777,20,24,0.001,0.25,256,2,0,relu,64,2,8,8,adamw,0,0.0005,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,44.482668499986175,212418,841.52734375,10.50464001018554,10.50464001018554,0.7516339869281046,0.5733594263301176,19,vision_transformer_patch8_embed64_depth2_heads8_head256_layers2_relu_bn0,Transformer | patch=8 | embed=64 | depth=2 | heads=8 | head=256 | layers=2 | activation=relu | bn=0
local,transformer,overnight,local_transformer_000,0.7516339869281046,0.5348418538087334,18,0.7124183006535948,0.5991364538280013,20,16,0.001,0.25,128,2,0,gelu,96,3,8,8,adamw,0,0.0005,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,47.85671669995645,347330,1372.6015625,19.18311999179423,19.18311999179423,0.7516339869281046,0.5348418538087334,18,vision_transformer_patch8_embed96_depth3_heads8_head128_layers2_gelu_bn0,Transformer | patch=8 | embed=96 | depth=3 | heads=8 | head=128 | layers=2 | activation=gelu | bn=0
local,transformer,overnight,local_transformer_017,0.7516339869281046,0.5833922531090531,12,0.7124183006535948,0.6587117197466832,20,8,5e-05,0.25,256,3,0,gelu,192,6,8,16,adamw,0,1e-05,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,41.529662500019185,2148930,8423.076171875,6.443180004134774,6.443180004134774,0.7516339869281046,0.5833922531090531,12,vision_transformer_patch16_embed192_depth6_heads8_head256_layers3_gelu_bn0,Transformer | patch=16 | embed=192 | depth=6 | heads=8 | head=256 | layers=3 | activation=gelu | bn=0
local,transformer,overnight,local_transformer_005,0.7450980392156863,0.5489548452539381,15,0.7189542483660131,0.5741825510863385,20,8,0.0001,0.2,384,3,0,relu,96,6,4,8,adamw,0,1e-05,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,52.942780999990646,876194,3451.388671875,19.120160001330078,19.120160001330078,0.7450980392156863,0.5489548452539381,15,vision_transformer_patch8_embed96_depth6_heads4_head384_layers3_relu_bn0,Transformer | patch=8 | embed=96 | depth=6 | heads=4 | head=384 | layers=3 | activation=relu | bn=0
local,transformer,overnight,local_transformer_002,0.7450980392156863,0.5520479628463196,16,0.6862745098039216,0.6056521550502653,20,16,0.0002,0.2,512,1,1,relu,192,3,8,16,adamw,0,1e-05,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,44.177303200005554,1177218,4619.1669921875,3.940759995020926,3.940759995020926,0.7450980392156863,0.5520479628463196,16,vision_transformer_patch16_embed192_depth3_heads8_head512_layers1_relu_bn1,Transformer | patch=16 | embed=192 | depth=3 | heads=8 | head=512 | layers=1 | activation=relu | bn=1
