epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,name,kind,hidden_layers,conv_channels,dropout,use_batchnorm,lr,epochs,train_batches,valid_batches
10,0.41016458893815677,0.85,0.4116954126528331,0.8571428571428571,0.8620535714285714,overnight_dense_420_256_drop0.35_bn1_lr0.0003,dense,"420,256",,0.35,True,0.0003,10,120,35
12,0.4654219706853231,0.8390625,0.4107461678130286,0.8566964285714286,0.8566964285714286,overnight_cnn_32_64_128_drop0.1_bn1_lr0.0003,cnn,"256,128","32,64,128",0.1,True,0.0003,12,120,35
10,0.4308049516131481,0.8489583333333334,0.4055940227849143,0.85625,0.8629464285714286,overnight_dense_128_64_drop0.2_bn1_lr0.001,dense,"128,64",,0.2,True,0.001,10,120,35
10,0.3602746590971947,0.8704427083333334,0.38773455790110994,0.8558035714285714,0.8607142857142858,overnight_dense_128_64_drop0.0_bn1_lr0.002,dense,"128,64",,0.0,True,0.002,10,120,35
10,0.5367209054529667,0.8364583333333333,0.4735284830842699,0.8553571428571428,0.8553571428571428,overnight_dense_128_64_drop0.1_bn1_lr0.0001,dense,"128,64",,0.1,True,0.0001,10,120,35
10,0.48297333468993503,0.852734375,0.461693274974823,0.8553571428571428,0.8553571428571428,overnight_dense_128_64_drop0.0_bn1_lr0.0001,dense,"128,64",,0.0,True,0.0001,10,120,35
10,0.37661647076408067,0.8639322916666666,0.3939757172550474,0.8553571428571428,0.8553571428571428,overnight_dense_256_128_drop0.0_bn0_lr0.002,dense,"256,128",,0.0,False,0.002,10,120,35
10,0.429804099102815,0.8522135416666666,0.4086662360600063,0.8553571428571428,0.8553571428571428,overnight_dense_512_256_128_drop0.35_bn1_lr0.0003,dense,"512,256,128",,0.35,True,0.0003,10,120,35
10,0.33902987812956176,0.8768229166666667,0.3933518132993153,0.8553571428571428,0.85625,overnight_dense_512_256_128_drop0.0_bn1_lr0.001,dense,"512,256,128",,0.0,True,0.001,10,120,35
10,0.3573592991878589,0.8735677083333333,0.39640543503420694,0.8549107142857143,0.871875,overnight_dense_420_256_drop0.0_bn1_lr0.0001,dense,"420,256",,0.0,True,0.0001,10,120,35
10,0.37940131723880766,0.8595052083333333,0.38396023724760325,0.8544642857142857,0.8575892857142857,overnight_dense_512_256_drop0.1_bn0_lr0.002,dense,"512,256",,0.1,False,0.002,10,120,35
10,0.37819295513133205,0.8627604166666667,0.39012847202164785,0.8544642857142857,0.8660714285714286,overnight_dense_128_64_drop0.1_bn1_lr0.001,dense,"128,64",,0.1,True,0.001,10,120,35
10,0.37365400629738965,0.863671875,0.3953052797487804,0.8544642857142857,0.8544642857142857,overnight_dense_256_128_drop0.0_bn0_lr0.001,dense,"256,128",,0.0,False,0.001,10,120,35
10,0.4849043930570284,0.8325520833333333,0.40341910549572535,0.8544642857142857,0.8544642857142857,overnight_dense_128_64_drop0.35_bn0_lr0.002,dense,"128,64",,0.35,False,0.002,10,120,35
10,0.38208619728684423,0.8634114583333333,0.3943883866071701,0.8540178571428572,0.8580357142857142,overnight_dense_512_256_drop0.2_bn1_lr0.0003,dense,"512,256",,0.2,True,0.0003,10,120,35
10,0.40151650284727414,0.8515625,0.38794799617358616,0.8540178571428572,0.8571428571428571,overnight_dense_420_256_drop0.35_bn1_lr0.002,dense,"420,256",,0.35,True,0.002,10,120,35
10,0.3783614410708348,0.8661458333333333,0.3735252580472401,0.8540178571428572,0.8566964285714286,overnight_dense_512_256_128_drop0.1_bn1_lr0.0003,dense,"512,256,128",,0.1,True,0.0003,10,120,35
10,0.3895880375057459,0.8571614583333333,0.4281324535608292,0.8540178571428572,0.8540178571428572,overnight_dense_420_256_drop0.0_bn0_lr0.002,dense,"420,256",,0.0,False,0.002,10,120,35
10,0.3739441213508447,0.86484375,0.39937863520213535,0.8535714285714285,0.8535714285714285,overnight_dense_420_256_drop0.1_bn0_lr0.001,dense,"420,256",,0.1,False,0.001,10,120,35
10,0.4192805585761865,0.8498697916666667,0.38794355690479276,0.8535714285714285,0.8535714285714285,overnight_dense_128_64_drop0.2_bn1_lr0.002,dense,"128,64",,0.2,True,0.002,10,120,35
10,0.369921517247955,0.8625,0.3962664357253483,0.8535714285714285,0.8598214285714286,overnight_dense_128_64_drop0.0_bn1_lr0.001,dense,"128,64",,0.0,True,0.001,10,120,35
10,0.42293908037245276,0.8458333333333333,0.4066538551024028,0.8535714285714285,0.859375,overnight_dense_512_256_drop0.35_bn1_lr0.0003,dense,"512,256",,0.35,True,0.0003,10,120,35
10,0.37596657561759156,0.86328125,0.3931808062962123,0.8535714285714285,0.8665178571428571,overnight_dense_512_256_drop0.1_bn1_lr0.0001,dense,"512,256",,0.1,True,0.0001,10,120,35
10,0.3808247145265341,0.86328125,0.38546442091464994,0.8526785714285714,0.8629464285714286,overnight_dense_256_128_drop0.1_bn1_lr0.0003,dense,"256,128",,0.1,True,0.0003,10,120,35
10,0.37767279073596,0.8631510416666667,0.40716843221868787,0.8526785714285714,0.8575892857142857,overnight_dense_512_256_drop0.1_bn1_lr0.002,dense,"512,256",,0.1,True,0.002,10,120,35
10,0.3622715752571821,0.8690104166666667,0.4115321253027235,0.8522321428571429,0.8584821428571429,overnight_dense_512_256_drop0.0_bn0_lr0.002,dense,"512,256",,0.0,False,0.002,10,120,35
10,0.39305170948306717,0.8630208333333333,0.40178185743944983,0.8522321428571429,0.8589285714285714,overnight_dense_256_128_drop0.2_bn1_lr0.0003,dense,"256,128",,0.2,True,0.0003,10,120,35
